studentID,difNLOC,difCCN,submissions,Window,Total.Time.Spent,atv
10169,0.049202128,0.050324675,0.194805195,1.41E-05,0.021943075,454
10170,0.293144208,0.324675325,0.025974026,1,0.098028303,454
10171,0.170212766,0.24025974,0.038961039,2.18E-05,0.03386866,454
10172,0.446808511,0.493506494,0.012987013,3.59E-06,0.005565273,454
10174,0.087234043,0.088311688,0.116883117,7.88E-05,0.122356495,454
10175,0.285460993,0.409090909,0.038961039,0.002614832,0.107409763,454
10176,0.029719689,0.035250464,0.25974026,0.015782741,0.156861186,454
10178,0.492907801,0.493506494,0.012987013,0.000187699,0.291302274,454
10179,0.068794326,0.088311688,0.116883117,5.14E-05,0.079742407,454
10181,1,1,0,1.18E-05,0.018285896,454
10183,0.087234043,0.088311688,0.116883117,0.004396287,0.065749722,454
10184,0.117527862,0.131725418,0.077922078,0.047341153,0.148751789,454
10185,1,1,0,0,0,454
10186,0.446808511,0.493506494,0.012987013,8.40E-06,0.013038639,454
10187,0.216312057,0.24025974,0.038961039,0.248839531,0.010256003,454
10188,0.108747045,0.155844156,0.064935065,5.24E-05,0.081252981,454
10189,0.38534279,0.437229437,0.025974026,3.59E-05,0.055732231,454
10190,0.446808511,0.493506494,0.012987013,4.56E-05,0.070758467,454
10191,0.446808511,0.493506494,0.012987013,4.66E-05,0.072348545,454
10192,0.064842958,0.059369202,0.168831169,5.30E-05,0.082286532,454
10193,0.078014184,0.0995671,0.103896104,5.93E-05,0.091986007,454
10196,0.02006079,0.025602969,0.441558442,0.294471461,0.32286532,454
10197,0.124113475,0.155844156,0.064935065,8.60E-05,0.133487041,454
10198,0.143870314,0.179962894,0.077922078,0.021324538,0.333439339,454
10199,0.139479905,0.155844156,0.064935065,7.94E-06,0.012323104,454
10200,0.139479905,0.155844156,0.064935065,0.02240089,0.365240897,454
10201,0.039193729,0.040328093,0.233766234,8.81E-05,0.136746701,454
10202,0,0,1,0.384365944,1,454
10203,0.036524823,0.037662338,0.246753247,0.07727538,0.180950867,454
10204,0.098502758,0.0995671,0.103896104,0.061621375,0.477420894,454
10206,0.354609929,0.324675325,0.025974026,4.50E-05,0.069883924,454
10208,0.40070922,0.493506494,0.012987013,1.15E-05,0.017808873,454
10209,0.193262411,0.24025974,0.038961039,0.034191072,0.030449992,454
10210,0.063829787,0.064935065,0.155844156,0.005343442,0.142709493,454
10211,0.907801418,1,0,6.27E-05,0.097233264,454
10212,0.262411348,0.18961039,0.051948052,0.000528724,0.212434409,454
10213,0.065988282,0.045736872,0.285714286,0.111376136,0.250596279,454
10214,0.042890915,0.035250464,0.25974026,0.011932698,0.866751471,454
10215,0.446808511,0.493506494,0.012987013,1.24E-05,0.019239943,454
10216,1,1,0,1.30E-05,0.02019399,454
10217,0.293144208,0.324675325,0.025974026,0.376040621,0.028859914,454
10218,0.027724049,0.033057851,0.272727273,9.67E-05,0.150023851,454
10219,0.585106383,0.662337662,0.012987013,5.84E-06,0.009063444,454
10220,0.492907801,0.493506494,0.012987013,3.64E-05,0.056447766,454
10221,0.185579196,0.155844156,0.064935065,0.051832314,0.297503578,454
10222,0.045473509,0.046600458,0.207792208,8.37E-05,0.129909366,454
10223,0.446808511,0.493506494,0.012987013,1.54E-07,0.000238512,454
10224,0.446808511,0.493506494,0.012987013,2.32E-05,0.035935761,454
10226,0.056737589,0.064935065,0.155844156,0.002137746,0.147082207,454
10227,0.239361702,0.24025974,0.038961039,0.00923462,0.359198601,454
10228,0.492907801,0.493506494,0.012987013,0.103854632,0.03347114,454
10230,0.078014184,0.088311688,0.116883117,0.00371019,0.081968516,454
10231,0.40070922,0.493506494,0.012987013,0.404742763,0.04102401,454
10232,0.117527862,0.131725418,0.077922078,0.000273711,0.038877405,454
10233,0.216312057,0.24025974,0.038961039,1.04E-05,0.016139291,454
10234,0.170212766,0.155844156,0.090909091,0.15624441,0.058355859,454
10237,1,1,0,0.000326323,0.043250119,454
10238,0.117527862,0.131725418,0.077922078,0.111240792,0.056447766,454
10240,0.098502758,0.0995671,0.103896104,0.014000313,0.187072667,454
10169,0.018865301,0.015623394,0.309859155,0.862901243,0.174152406,457
10170,0.075100687,0.070659312,0.112676056,0.348617244,0.035188329,457
10171,0.154584222,0.206855792,0.042253521,0.000204786,0.072762307,457
10172,0.057036247,0.050630418,0.154929577,0.613222883,0.069872001,457
10174,0.333422175,0.35106383,0.014084507,0.247298274,0.024911685,457
10175,0.260261194,0.206855792,0.042253521,0.957837767,0.093682617,457
10176,0.187100213,0.170803783,0.042253521,0.081402072,0.105243841,457
10178,0.203358209,0.182821119,0.070422535,0.029360542,0.070881314,457
10179,0.300906183,0.35106383,0.014084507,0.000705775,0.082029637,457
10181,0.447228145,0.423167849,0.014084507,0.98172694,0.060742304,457
10184,0.193603412,0.192434988,0.056338028,0.200250882,0.341423132,457
10185,0.609808102,0.711583924,0,2.32E-05,0.008258017,457
10186,0.063539446,0.062647754,0.126760563,0.669258123,0.60462449,457
10187,0.071261994,0.062647754,0.211267606,0.494707205,0.254805707,457
10188,0.078713575,0.070659312,0.112676056,0.895062804,0.011561224,457
10189,0.252132196,0.230890465,0.028169014,0,0,457
10190,0.739872068,0.711583924,0,3.07E-05,0.010918934,457
10191,0.447228145,0.423167849,0.014084507,0.00010433,0.037069321,457
10192,0.241293532,0.230890465,0.028169014,0.895766642,0.023168326,457
10193,0.252132196,0.35106383,0.014084507,0.996517222,0.038308024,457
10196,0.148081023,0.134751773,0.056338028,0.31143727,0.011377713,457
10197,0.027229922,0.026595745,0.323943662,0.179273385,0.28990228,457
10198,0.398454158,0.35106383,0.014084507,0.001319874,0.468963619,457
10199,0.052033787,0.046008365,0.169014085,0.032327611,0.165389733,457
10200,0.052033787,0.046008365,0.169014085,0.535527743,0.565077763,457
10201,0.047745964,0.042046606,0.183098592,0.967367922,0.213102721,457
10202,0,0,0.845070423,0.958846331,0.379685278,457
10203,0.382196162,0.35106383,0.014084507,0.873796852,0.005780612,457
10204,0.02018479,0.014578408,0.408450704,0.189460894,0.908840666,457
10206,0.284648188,0.278959811,0.028169014,0.380353094,0.024957563,457
10208,0.077358742,0.080673759,0.098591549,0.000340234,0.120888196,457
10209,0.609808102,0.711583924,0,0.015229809,0.055191081,457
10210,1,1,0,0.649590687,0.068036886,457
10211,0.197938877,0.278959811,0.028169014,9.14E-05,0.032481534,457
10212,0.051616915,0.030601524,0.23943662,0.002873844,0.261503877,457
10213,0.011180362,0.009031945,0.535211268,0.000902039,0.320502821,457
10214,0.012814499,0.010732861,0.690140845,0.228269083,0.426801853,457
10215,0.230454869,0.230890465,0.028169014,0.11294282,0.034270771,457
10216,0.967484009,0.855791962,0,7.14E-05,0.025370464,457
10217,0.16271322,0.188829787,0.098591549,0.819408807,0.215029591,457
10218,0.837420043,0.711583924,0,0.317268628,0.000229389,457
10219,0.252132196,0.230890465,0.028169014,0.313340512,0.200119282,457
10220,0.03158895,0.034433138,0.309859155,0.00186089,0.661191907,457
10221,0.055487867,0.045480131,0.281690141,0.702945118,0.453915676,457
10222,0.40387349,0.375098503,0.028169014,0.155302091,0.115887507,457
10223,0.084907097,0.114150625,0.084507042,0.000723981,0.257237234,457
10226,0.02965436,0.028493219,0.253521127,0.714185738,0.223838143,457
10227,0.004320928,0.001468587,0.915492958,0.761858334,0.856677524,457
10228,0.12206823,0.170803783,0.042253521,0.00013222,0.046978942,457
10230,0.001488095,0.000558182,1,0.696399851,1,457
10231,0.096055437,0.134751773,0.056338028,1,0.332843969,457
10232,0.066791045,0.062647754,0.126760563,0.588505271,0.351103363,457
10233,0.057036247,0.050630418,0.154929577,0.000332228,0.118043767,457
10234,0.447228145,0.423167849,0.014084507,0.111054685,0.107675368,457
10237,0.12206823,0.170803783,0.042253521,0.002558531,0.053264211,457
