studentID,atv,test 1,test 2,avg test,avg class atvs,avg atv,grades
10169,454,3.9,10,6.95,7.026666667,8.977370722,7.48
10170,454,5.2,7.5,6.35,6.226666667,9.992063492,7.23
10171,454,10.5,9.5,9.75,9.276666667,9.952380952,9.68
10172,454,7.555555556,10,8.777777778,8.19,9.950654249,8.92
10174,454,0.755555556,7.5,4.127777778,5.613333333,8.493107769,5.59
10175,454,7,10,8.5,9.796666667,10,9.2
10176,454,9,10,9.5,7.303333333,9.965747703,9.07
10178,454,4.805555556,7,5.902777778,5.743333333,8.238685361,6.45
10179,454,6.333333333,7.5,6.916666667,8.68,8.428571429,7.74
10181,454,9.433333333,10,9.716666667,7.09,9.921766922,9.11
10183,454,5.277777778,2.75,4.013888889,5.27,6.943631409,5.06
10184,454,8.277777778,10,9.138888889,7.766666667,10,9.01
10185,454,6.055555556,7.5,6.777777778,8.6,8.197543099,7.59
10186,454,7.5,8,7.75,6.81,9.867069523,8.04
10187,454,5.555555556,8,6.777777778,5.896666667,7.329758495,6.7
10188,454,6.277777778,10,8.138888889,9.53,9.855419799,8.92
10189,454,3.916666667,10,6.958333333,6.11,7.845167489,6.97
10190,454,6.277777778,5,5.638888889,5.996666667,7.458552044,6.18
10191,454,9.5,10,9.75,8.813333333,9.934837093,9.56
10192,454,5.6,10,7.8,8.393333333,8.826577071,8.2
10193,454,8.833333333,10,9.416666667,8.15,9.727166529,9.18
10196,454,6,10,8,8.786666667,9.992481203,8.69
10197,454,7,10,8.5,7.796666667,8.543450342,8.34
10198,454,5,10,7.5,7.586666667,9.985284149,8.14
10199,454,10.5,10,10,7.22,7.588635286,8.7
10200,454,5.166666667,10,7.583333333,5.443333333,8.047619048,7.16
10201,454,8.055555556,10,9.027777778,8.02,9.47039072,8.89
10202,454,5.5,10,7.75,6.676666667,8.019748947,7.55
10203,454,5.277777778,10,7.638888889,4.036666667,7.458005643,6.69
10204,454,7,10,8.5,7.976666667,9.854917106,8.71
10206,454,6.055555556,9.5,7.777777778,7.983333333,9.959498608,8.37
10208,454,9.5,10,9.75,9.473333333,9.874108348,9.71
10209,454,8.5,10,9.25,9.85,9.659858837,9.5
10210,454,5,10,7.5,7.196666667,9.265059981,7.87
10211,454,10.5,9,9.5,8.276666667,8.516716471,8.95
10212,454,9,8,8.5,7.92,6.866186299,7.95
10213,454,5.333333333,10,7.666666667,7.453333333,9.917124542,8.18
10214,454,8,10,9,8.246666667,8.958333333,8.8
10215,454,9,10,9.5,8.686666667,9.115355054,9.2
10216,454,8,7.5,7.75,9.023333333,8.523809524,8.26
10217,454,8.6,9.5,9.05,9.486666667,10,9.4
10218,454,7.933333333,5.5,6.716666667,7.02,7.889901539,7.09
10219,454,2.5,10,6.25,7.52,8.919590643,7.23
10220,454,8.5,5.5,7,6.976666667,6.468253968,6.86
10221,454,3.977777778,10,6.988888889,3.453333333,8.946418341,6.59
10222,454,4.5,8,6.25,5.14,6.001984127,5.91
10223,454,9,10,9.5,8.443333333,7.486014716,8.73
10224,454,7.6,7,7.3,6.85,5.886760246,6.83
10226,454,6.083333333,10,8.041666667,7,8.01984127,7.78
10227,454,9,10,9.5,7.176666667,7.050509607,8.31
10228,454,8.166666667,10,9.083333333,5.426666667,8.752649523,8.09
10230,454,5.166666667,10,7.583333333,7.35,7.94484127,7.62
10231,454,9,10,9.5,9.286666667,9.702380952,9.5
10232,454,7,10,8.5,6.706666667,9.986111111,8.42
10233,454,8,9,8.5,7.1,5.691938179,7.45
10234,454,4.25,10,7.125,6.38,9.574979114,7.55
10237,454,5.6,10,7.8,7.61,8.368325831,7.89
10238,454,5.255555556,0,2.627777778,6.833333333,5.580513784,5.02
10240,454,6.166666667,10,8.083333333,6.31,8.464285714,7.74
10169,457,3.9,10,6.95,7.026666667,8.977370722,7.48
10170,457,5.2,7.5,6.35,6.226666667,9.992063492,7.23
10171,457,10.5,9.5,9.75,9.276666667,9.952380952,9.68
10172,457,7.555555556,10,8.777777778,8.19,9.950654249,8.92
10174,457,0.755555556,7.5,4.127777778,5.613333333,8.493107769,5.59
10175,457,7,10,8.5,9.796666667,10,9.2
10176,457,9,10,9.5,7.303333333,9.965747703,9.07
10178,457,4.805555556,7,5.902777778,5.743333333,8.238685361,6.45
10179,457,6.333333333,7.5,6.916666667,8.68,8.428571429,7.74
10181,457,9.433333333,10,9.716666667,7.09,9.921766922,9.11
10184,457,8.277777778,10,9.138888889,7.766666667,10,9.01
10185,457,6.055555556,7.5,6.777777778,8.6,8.197543099,7.59
10186,457,7.5,8,7.75,6.81,9.867069523,8.04
10187,457,5.555555556,8,6.777777778,5.896666667,7.329758495,6.7
10188,457,6.277777778,10,8.138888889,9.53,9.855419799,8.92
10189,457,3.916666667,10,6.958333333,6.11,7.845167489,6.97
10190,457,6.277777778,5,5.638888889,5.996666667,7.458552044,6.18
10191,457,9.5,10,9.75,8.813333333,9.934837093,9.56
10192,457,5.6,10,7.8,8.393333333,8.826577071,8.2
10193,457,8.833333333,10,9.416666667,8.15,9.727166529,9.18
10196,457,6,10,8,8.786666667,9.992481203,8.69
10197,457,7,10,8.5,7.796666667,8.543450342,8.34
10198,457,5,10,7.5,7.586666667,9.985284149,8.14
10199,457,10.5,10,10,7.22,7.588635286,8.7
10200,457,5.166666667,10,7.583333333,5.443333333,8.047619048,7.16
10201,457,8.055555556,10,9.027777778,8.02,9.47039072,8.89
10202,457,5.5,10,7.75,6.676666667,8.019748947,7.55
10203,457,5.277777778,10,7.638888889,4.036666667,7.458005643,6.69
10204,457,7,10,8.5,7.976666667,9.854917106,8.71
10206,457,6.055555556,9.5,7.777777778,7.983333333,9.959498608,8.37
10208,457,9.5,10,9.75,9.473333333,9.874108348,9.71
10209,457,8.5,10,9.25,9.85,9.659858837,9.5
10210,457,5,10,7.5,7.196666667,9.265059981,7.87
10211,457,10.5,9,9.5,8.276666667,8.516716471,8.95
10212,457,9,8,8.5,7.92,6.866186299,7.95
10213,457,5.333333333,10,7.666666667,7.453333333,9.917124542,8.18
10214,457,8,10,9,8.246666667,8.958333333,8.8
10215,457,9,10,9.5,8.686666667,9.115355054,9.2
10216,457,8,7.5,7.75,9.023333333,8.523809524,8.26
10217,457,8.6,9.5,9.05,9.486666667,10,9.4
10218,457,7.933333333,5.5,6.716666667,7.02,7.889901539,7.09
10219,457,2.5,10,6.25,7.52,8.919590643,7.23
10220,457,8.5,5.5,7,6.976666667,6.468253968,6.86
10221,457,3.977777778,10,6.988888889,3.453333333,8.946418341,6.59
10222,457,4.5,8,6.25,5.14,6.001984127,5.91
10223,457,9,10,9.5,8.443333333,7.486014716,8.73
10226,457,6.083333333,10,8.041666667,7,8.01984127,7.78
10227,457,9,10,9.5,7.176666667,7.050509607,8.31
10228,457,8.166666667,10,9.083333333,5.426666667,8.752649523,8.09
10230,457,5.166666667,10,7.583333333,7.35,7.94484127,7.62
10231,457,9,10,9.5,9.286666667,9.702380952,9.5
10232,457,7,10,8.5,6.706666667,9.986111111,8.42
10233,457,8,9,8.5,7.1,5.691938179,7.45
10234,457,4.25,10,7.125,6.38,9.574979114,7.55
10237,457,5.6,10,7.8,7.61,8.368325831,7.89
10238,457,5.255555556,0,2.627777778,6.833333333,5.580513784,5.02
10240,457,6.166666667,10,8.083333333,6.31,8.464285714,7.74
10169,478,3.9,10,6.95,7.026666667,8.977370722,7.48
10170,478,5.2,7.5,6.35,6.226666667,9.992063492,7.23
10171,478,10.5,9.5,9.75,9.276666667,9.952380952,9.68
10172,478,7.555555556,10,8.777777778,8.19,9.950654249,8.92
10174,478,0.755555556,7.5,4.127777778,5.613333333,8.493107769,5.59
10175,478,7,10,8.5,9.796666667,10,9.2
10176,478,9,10,9.5,7.303333333,9.965747703,9.07
10178,478,4.805555556,7,5.902777778,5.743333333,8.238685361,6.45
10179,478,6.333333333,7.5,6.916666667,8.68,8.428571429,7.74
10181,478,9.433333333,10,9.716666667,7.09,9.921766922,9.11
10183,478,5.277777778,2.75,4.013888889,5.27,6.943631409,5.06
10184,478,8.277777778,10,9.138888889,7.766666667,10,9.01
10185,478,6.055555556,7.5,6.777777778,8.6,8.197543099,7.59
10186,478,7.5,8,7.75,6.81,9.867069523,8.04
10187,478,5.555555556,8,6.777777778,5.896666667,7.329758495,6.7
10188,478,6.277777778,10,8.138888889,9.53,9.855419799,8.92
10189,478,3.916666667,10,6.958333333,6.11,7.845167489,6.97
10190,478,6.277777778,5,5.638888889,5.996666667,7.458552044,6.18
10191,478,9.5,10,9.75,8.813333333,9.934837093,9.56
10192,478,5.6,10,7.8,8.393333333,8.826577071,8.2
10193,478,8.833333333,10,9.416666667,8.15,9.727166529,9.18
10196,478,6,10,8,8.786666667,9.992481203,8.69
10197,478,7,10,8.5,7.796666667,8.543450342,8.34
10198,478,5,10,7.5,7.586666667,9.985284149,8.14
10200,478,5.166666667,10,7.583333333,5.443333333,8.047619048,7.16
10201,478,8.055555556,10,9.027777778,8.02,9.47039072,8.89
10202,478,5.5,10,7.75,6.676666667,8.019748947,7.55
10203,478,5.277777778,10,7.638888889,4.036666667,7.458005643,6.69
10204,478,7,10,8.5,7.976666667,9.854917106,8.71
10206,478,6.055555556,9.5,7.777777778,7.983333333,9.959498608,8.37
10208,478,9.5,10,9.75,9.473333333,9.874108348,9.71
10209,478,8.5,10,9.25,9.85,9.659858837,9.5
10210,478,5,10,7.5,7.196666667,9.265059981,7.87
10211,478,10.5,9,9.5,8.276666667,8.516716471,8.95
10213,478,5.333333333,10,7.666666667,7.453333333,9.917124542,8.18
10214,478,8,10,9,8.246666667,8.958333333,8.8
10215,478,9,10,9.5,8.686666667,9.115355054,9.2
10216,478,8,7.5,7.75,9.023333333,8.523809524,8.26
10217,478,8.6,9.5,9.05,9.486666667,10,9.4
10218,478,7.933333333,5.5,6.716666667,7.02,7.889901539,7.09
10219,478,2.5,10,6.25,7.52,8.919590643,7.23
10221,478,3.977777778,10,6.988888889,3.453333333,8.946418341,6.59
10222,478,4.5,8,6.25,5.14,6.001984127,5.91
10226,478,6.083333333,10,8.041666667,7,8.01984127,7.78
10227,478,9,10,9.5,7.176666667,7.050509607,8.31
10228,478,8.166666667,10,9.083333333,5.426666667,8.752649523,8.09
10230,478,5.166666667,10,7.583333333,7.35,7.94484127,7.62
10231,478,9,10,9.5,9.286666667,9.702380952,9.5
10232,478,7,10,8.5,6.706666667,9.986111111,8.42
10234,478,4.25,10,7.125,6.38,9.574979114,7.55
10237,478,5.6,10,7.8,7.61,8.368325831,7.89
10240,478,6.166666667,10,8.083333333,6.31,8.464285714,7.74
10169,493,3.9,10,6.95,7.026666667,8.977370722,7.48
10170,493,5.2,7.5,6.35,6.226666667,9.992063492,7.23
10171,493,10.5,9.5,9.75,9.276666667,9.952380952,9.68
10172,493,7.555555556,10,8.777777778,8.19,9.950654249,8.92
10174,493,0.755555556,7.5,4.127777778,5.613333333,8.493107769,5.59
10175,493,7,10,8.5,9.796666667,10,9.2
10176,493,9,10,9.5,7.303333333,9.965747703,9.07
10178,493,4.805555556,7,5.902777778,5.743333333,8.238685361,6.45
10179,493,6.333333333,7.5,6.916666667,8.68,8.428571429,7.74
10181,493,9.433333333,10,9.716666667,7.09,9.921766922,9.11
10183,493,5.277777778,2.75,4.013888889,5.27,6.943631409,5.06
10184,493,8.277777778,10,9.138888889,7.766666667,10,9.01
10185,493,6.055555556,7.5,6.777777778,8.6,8.197543099,7.59
10186,493,7.5,8,7.75,6.81,9.867069523,8.04
10187,493,5.555555556,8,6.777777778,5.896666667,7.329758495,6.7
10188,493,6.277777778,10,8.138888889,9.53,9.855419799,8.92
10189,493,3.916666667,10,6.958333333,6.11,7.845167489,6.97
10190,493,6.277777778,5,5.638888889,5.996666667,7.458552044,6.18
10191,493,9.5,10,9.75,8.813333333,9.934837093,9.56
10192,493,5.6,10,7.8,8.393333333,8.826577071,8.2
10193,493,8.833333333,10,9.416666667,8.15,9.727166529,9.18
10195,493,0,0,0,2.716666667,3.307777778,1.51
10196,493,6,10,8,8.786666667,9.992481203,8.69
10197,493,7,10,8.5,7.796666667,8.543450342,8.34
10198,493,5,10,7.5,7.586666667,9.985284149,8.14
10199,493,10.5,10,10,7.22,7.588635286,8.7
10200,493,5.166666667,10,7.583333333,5.443333333,8.047619048,7.16
10201,493,8.055555556,10,9.027777778,8.02,9.47039072,8.89
10202,493,5.5,10,7.75,6.676666667,8.019748947,7.55
10203,493,5.277777778,10,7.638888889,4.036666667,7.458005643,6.69
10204,493,7,10,8.5,7.976666667,9.854917106,8.71
10206,493,6.055555556,9.5,7.777777778,7.983333333,9.959498608,8.37
10208,493,9.5,10,9.75,9.473333333,9.874108348,9.71
10209,493,8.5,10,9.25,9.85,9.659858837,9.5
10210,493,5,10,7.5,7.196666667,9.265059981,7.87
10211,493,10.5,9,9.5,8.276666667,8.516716471,8.95
10212,493,9,8,8.5,7.92,6.866186299,7.95
10213,493,5.333333333,10,7.666666667,7.453333333,9.917124542,8.18
10214,493,8,10,9,8.246666667,8.958333333,8.8
10215,493,9,10,9.5,8.686666667,9.115355054,9.2
10216,493,8,7.5,7.75,9.023333333,8.523809524,8.26
10217,493,8.6,9.5,9.05,9.486666667,10,9.4
10218,493,7.933333333,5.5,6.716666667,7.02,7.889901539,7.09
10219,493,2.5,10,6.25,7.52,8.919590643,7.23
10220,493,8.5,5.5,7,6.976666667,6.468253968,6.86
10221,493,3.977777778,10,6.988888889,3.453333333,8.946418341,6.59
10222,493,4.5,8,6.25,5.14,6.001984127,5.91
10223,493,9,10,9.5,8.443333333,7.486014716,8.73
10226,493,6.083333333,10,8.041666667,7,8.01984127,7.78
10227,493,9,10,9.5,7.176666667,7.050509607,8.31
10228,493,8.166666667,10,9.083333333,5.426666667,8.752649523,8.09
10230,493,5.166666667,10,7.583333333,7.35,7.94484127,7.62
10231,493,9,10,9.5,9.286666667,9.702380952,9.5
10232,493,7,10,8.5,6.706666667,9.986111111,8.42
10233,493,8,9,8.5,7.1,5.691938179,7.45
10234,493,4.25,10,7.125,6.38,9.574979114,7.55
10237,493,5.6,10,7.8,7.61,8.368325831,7.89
10238,493,5.255555556,0,2.627777778,6.833333333,5.580513784,5.02
10240,493,6.166666667,10,8.083333333,6.31,8.464285714,7.74
10169,496,3.9,10,6.95,7.026666667,8.977370722,7.48
10170,496,5.2,7.5,6.35,6.226666667,9.992063492,7.23
10171,496,10.5,9.5,9.75,9.276666667,9.952380952,9.68
10172,496,7.555555556,10,8.777777778,8.19,9.950654249,8.92
